Year,Units,Series,Value
2007,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,0.0
2008,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,0.0
2009,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,0.0
2010,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,1058.6
2011,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,711.227
2012,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,425.0
2013,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,645.61
2014,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,628.0
2020,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,68.533
2021,"DKK 1,000",Sustainable Development Goals. Indicator 6.a.1,248.536
2007,,,0.0
2008,,,0.0
2009,,,0.0
2010,,,1058.6
2011,,,711.2
2012,,,425.0
2013,,,645.6
2014,,,628.0
2015,,,
2016,,,
2017,,,
2018,,,
2019,,,
2020,,,68.5
2021,,,248.5
