Year,data.confidenslevel,Value
1993,Lowerbound,0.828958038591179
1993,Red List Index,0.887164353136477
1993,Upperbound,0.927147006943324
1994,Lowerbound,0.834526841672687
1994,Red List Index,0.886121129988965
1994,Upperbound,0.922149451293647
1995,Lowerbound,0.836162686518185
1995,Red List Index,0.886673181461555
1995,Upperbound,0.917125502736295
1996,Lowerbound,0.843178725
1996,Red List Index,0.8881749875
1996,Upperbound,0.914601102671674
1997,Lowerbound,0.843319324999999
1997,Red List Index,0.887612735416666
1997,Upperbound,0.912926524375834
1998,Lowerbound,0.847889963333332
1998,Red List Index,0.888429614583333
1998,Upperbound,0.91156518875
1999,Lowerbound,0.848827938125
1999,Red List Index,0.888193291666667
1999,Upperbound,0.911201623333332
2000,Lowerbound,0.850480503541667
2000,Red List Index,0.888682606249999
2000,Upperbound,0.910286428125
2001,Lowerbound,0.854183091041667
2001,Red List Index,0.886442114583332
2001,Upperbound,0.909396090625
2002,Lowerbound,0.854939147291666
2002,Red List Index,0.884994487499999
2002,Upperbound,0.90887532125
2003,Lowerbound,0.854478669166667
2003,Red List Index,0.8851053875
2003,Upperbound,0.907572354374999
2004,Lowerbound,0.851646441041666
2004,Red List Index,0.885257981249999
2004,Upperbound,0.906281494166667
2005,Lowerbound,0.849285104999999
2005,Red List Index,0.884151295833332
2005,Upperbound,0.904960997708332
2006,Lowerbound,0.846651650833332
2006,Red List Index,0.88356944375
2006,Upperbound,0.9043829125
2007,Lowerbound,0.845633980624999
2007,Red List Index,0.885196592256654
2007,Upperbound,0.905885922139192
2008,Lowerbound,0.84069621875
2008,Red List Index,0.885882875814646
2008,Upperbound,0.910065210981863
2009,Lowerbound,0.837964086249999
2009,Red List Index,0.884563225410567
2009,Upperbound,0.912141487299067
2010,Lowerbound,0.837974699093687
2010,Red List Index,0.884679823598724
2010,Upperbound,0.917771591010855
2011,Lowerbound,0.832157316381012
2011,Red List Index,0.885707959040186
2011,Upperbound,0.922249178716568
2012,Lowerbound,0.826941233314576
2012,Red List Index,0.885633798084299
2012,Upperbound,0.923437771746349
2013,Lowerbound,0.819485836938452
2013,Red List Index,0.887123243243174
2013,Upperbound,0.927581620932612
2014,Lowerbound,0.819647421425442
2014,Red List Index,0.883792781942461
2014,Upperbound,0.932744905276636
2015,Lowerbound,0.806975309407722
2015,Red List Index,0.879958092385844
2015,Upperbound,0.930432187507096
2016,Lowerbound,0.801640169245634
2016,Red List Index,0.877082299853249
2016,Upperbound,0.935042502831969
2017,Lowerbound,0.788950058399412
2017,Red List Index,0.870724799356155
2017,Upperbound,0.943387664672242
2018,Lowerbound,0.786951595316975
2018,Red List Index,0.86634265766622
2018,Upperbound,0.944175073181012
2019,Lowerbound,0.775270476403117
2019,Red List Index,0.865623923865655
2019,Upperbound,0.954073873961788
2020,Lowerbound,0.768641834549737
2020,Red List Index,0.860073580506819
2020,Upperbound,0.94784670845374
